iter	Passed	Remaining
0	12	7578
1	24	7616
2	33	7066
3	41	6540
4	50	6263
5	62	6532
6	74	6647
7	84	6571
8	89	6172
9	94	5821
10	100	5673
11	105	5430
12	110	5254
13	115	5073
14	120	4921
15	125	4809
16	130	4697
17	135	4589
18	139	4471
19	144	4386
20	148	4301
21	153	4228
22	157	4156
23	163	4110
24	169	4094
25	175	4067
26	181	4046
27	187	4016
28	191	3961
29	195	3907
30	200	3873
31	205	3825
32	209	3791
33	214	3758
34	219	3721
35	223	3681
36	227	3647
37	232	3615
38	236	3578
39	240	3547
40	244	3513
41	249	3484
42	253	3454
43	257	3428
44	262	3406
45	267	3387
46	271	3366
47	276	3346
48	281	3327
49	285	3307
50	289	3281
51	294	3267
52	299	3252
53	303	3233
54	307	3213
55	312	3199
56	317	3184
57	321	3166
58	326	3151
59	330	3136
60	335	3120
61	339	3108
62	345	3104
63	350	3097
64	355	3087
65	360	3074
66	364	3060
67	369	3044
68	372	3026
69	377	3012
70	381	2997
71	385	2982
72	389	2967
73	393	2953
74	397	2937
75	401	2924
76	405	2910
77	410	2899
78	415	2889
79	419	2876
80	423	2864
81	427	2854
82	432	2842
83	436	2829
84	440	2817
85	445	2809
86	449	2799
87	453	2790
88	458	2782
89	462	2771
90	466	2758
91	470	2746
92	475	2737
93	478	2726
94	482	2714
95	487	2703
96	492	2702
97	499	2706
98	503	2693
99	510	2702
100	515	2695
101	520	2688
102	525	2682
103	529	2673
104	533	2662
105	538	2654
106	542	2646
107	546	2637
108	550	2627
109	555	2620
110	559	2611
111	563	2602
112	567	2593
113	572	2586
114	576	2576
115	580	2569
116	584	2559
117	589	2552
118	593	2544
119	597	2536
120	602	2527
121	606	2522
122	611	2514
123	615	2507
124	620	2501
125	624	2494
126	629	2487
127	633	2480
128	638	2473
129	642	2466
130	646	2458
131	651	2451
132	656	2446
133	660	2441
134	665	2435
135	671	2433
136	676	2427
137	680	2420
138	684	2413
139	689	2407
140	693	2399
141	697	2391
142	701	2385
143	705	2377
144	710	2370
145	714	2362
146	718	2356
147	722	2349
148	727	2342
149	731	2335
150	735	2329
151	740	2323
152	744	2316
153	749	2311
154	753	2305
155	758	2299
156	763	2293
157	767	2288
158	771	2281
159	776	2274
160	780	2267
161	784	2261
162	788	2255
163	793	2249
164	797	2242
165	801	2236
166	805	2229
167	810	2223
168	815	2220
169	821	2217
170	826	2214
171	831	2210
172	836	2205
173	840	2198
174	844	2192
175	849	2186
176	853	2179
177	857	2173
178	861	2166
179	866	2161
180	870	2154
181	874	2148
182	878	2142
183	883	2136
184	887	2130
185	891	2123
186	896	2118
187	900	2112
188	904	2106
189	908	2099
190	913	2095
191	918	2089
192	922	2084
193	926	2077
194	931	2072
195	935	2066
196	939	2059
197	943	2053
198	948	2048
199	952	2043
200	957	2038
201	961	2033
202	966	2027
203	969	2020
204	974	2014
205	979	2012
206	985	2008
207	990	2004
208	996	2001
209	1001	1998
210	1027	2034
211	1039	2044
212	1045	2041
213	1050	2038
214	1057	2035
215	1062	2030
216	1069	2031
217	1076	2029
218	1086	2034
219	1124	2090
220	1138	2101
221	1143	2095
222	1147	2089
223	1151	2082
224	1155	2075
225	1160	2069
226	1164	2062
227	1169	2056
228	1174	2051
229	1179	2046
230	1184	2040
231	1189	2035
232	1192	2025
233	1196	2020
234	1201	2014
235	1206	2009
236	1211	2004
237	1216	1998
238	1221	1993
239	1226	1988
240	1232	1984
241	1238	1980
242	1243	1975
243	1249	1971
244	1253	1965
245	1259	1960
246	1263	1954
247	1269	1950
248	1275	1946
249	1281	1942
250	1288	1940
251	1293	1935
252	1300	1932
253	1305	1927
254	1310	1921
255	1314	1915
256	1320	1910
257	1325	1905
258	1329	1899
259	1334	1894
260	1339	1888
261	1345	1884
262	1349	1877
263	1354	1872
264	1359	1866
265	1363	1861
266	1368	1855
267	1373	1849
268	1377	1843
269	1381	1837
270	1386	1831
271	1391	1826
272	1395	1819
273	1400	1814
274	1404	1808
275	1409	1802
276	1413	1795
277	1417	1790
278	1422	1784
279	1427	1779
280	1432	1774
281	1439	1771
282	1444	1766
283	1449	1761
284	1454	1755
285	1459	1749
286	1463	1744
287	1469	1739
288	1473	1734
289	1478	1728
290	1483	1722
291	1487	1716
292	1491	1710
293	1495	1704
294	1500	1698
295	1504	1692
296	1508	1686
297	1513	1681
298	1518	1675
299	1522	1669
300	1526	1663
301	1531	1658
302	1535	1652
303	1537	1643
304	1541	1637
305	1545	1631
306	1549	1625
307	1554	1619
308	1558	1613
309	1562	1607
310	1566	1601
311	1570	1595
312	1574	1590
313	1579	1584
314	1583	1578
315	1588	1573
316	1592	1567
317	1598	1562
318	1602	1557
319	1606	1551
320	1611	1546
321	1615	1540
322	1619	1534
323	1623	1528
324	1628	1522
325	1632	1517
326	1636	1511
327	1640	1505
328	1644	1499
329	1648	1493
330	1652	1487
331	1656	1482
332	1661	1477
333	1666	1471
334	1670	1465
335	1675	1461
336	1679	1455
337	1683	1449
338	1687	1443
339	1692	1438
340	1696	1432
341	1701	1427
342	1705	1421
343	1710	1416
344	1714	1411
345	1717	1404
346	1720	1398
347	1725	1393
348	1730	1388
349	1734	1382
350	1738	1376
351	1742	1371
352	1746	1365
353	1751	1360
354	1755	1355
355	1760	1349
356	1764	1344
357	1768	1338
358	1773	1333
359	1777	1328
360	1781	1322
361	1785	1316
362	1790	1312
363	1795	1307
364	1800	1301
365	1804	1297
366	1809	1291
367	1814	1286
368	1818	1281
369	1823	1276
370	1827	1270
371	1831	1264
372	1835	1259
373	1839	1254
374	1844	1249
375	1848	1243
376	1852	1238
377	1857	1233
378	1861	1227
379	1865	1222
380	1869	1217
381	1874	1212
382	1878	1206
383	1882	1201
384	1887	1196
385	1891	1190
386	1895	1185
387	1899	1180
388	1904	1174
389	1908	1169
390	1912	1164
391	1916	1158
392	1921	1154
393	1926	1148
394	1930	1143
395	1934	1138
396	1939	1133
397	1943	1128
398	1947	1122
399	1952	1117
400	1957	1112
401	1962	1108
402	1967	1103
403	1973	1098
404	1977	1093
405	1981	1088
406	1986	1083
407	1990	1078
408	1995	1073
409	1999	1068
410	2004	1063
411	2007	1057
412	2012	1052
413	2016	1047
414	2021	1042
415	2025	1037
416	2029	1031
417	2034	1026
418	2038	1021
419	2042	1016
420	2046	1011
421	2051	1006
422	2055	1001
423	2061	996
424	2066	991
425	2070	986
426	2074	981
427	2079	976
428	2083	971
429	2088	966
430	2093	961
431	2097	956
432	2102	951
433	2107	946
434	2112	941
435	2116	936
436	2121	932
437	2127	927
438	2133	923
439	2139	919
440	2145	914
441	2150	909
442	2155	904
443	2159	899
444	2164	895
445	2170	890
446	2175	885
447	2179	880
448	2184	875
449	2189	870
450	2194	865
451	2199	861
452	2204	856
453	2208	851
454	2213	846
455	2218	841
456	2222	836
457	2227	831
458	2232	826
459	2236	821
460	2241	816
461	2245	811
462	2250	806
463	2254	801
464	2259	796
465	2263	791
466	2267	786
467	2273	781
468	2278	777
469	2284	772
470	2289	768
471	2294	763
472	2299	758
473	2303	753
474	2308	748
475	2313	743
476	2317	738
477	2322	733
478	2327	728
479	2331	723
480	2336	718
481	2340	713
482	2346	709
483	2350	704
484	2354	699
485	2359	694
486	2363	689
487	2368	684
488	2372	679
489	2376	674
490	2381	669
491	2385	664
492	2390	659
493	2394	654
494	2399	649
495	2404	644
496	2409	639
497	2413	634
498	2417	629
499	2422	625
500	2435	622
501	2441	617
502	2447	613
503	2452	608
504	2457	603
505	2462	598
506	2466	593
507	2471	588
508	2475	583
509	2479	578
510	2483	573
511	2488	568
512	2493	563
513	2497	558
514	2502	553
515	2506	548
516	2511	543
517	2515	539
518	2518	533
519	2523	529
520	2528	524
521	2532	519
522	2536	514
523	2541	509
524	2545	504
525	2549	499
526	2554	494
527	2558	489
528	2562	484
529	2567	479
530	2571	474
531	2575	469
532	2579	464
533	2583	459
534	2589	454
535	2594	450
536	2599	445
537	2604	440
538	2608	435
539	2613	430
540	2617	425
541	2622	420
542	2625	415
543	2630	410
544	2634	406
545	2639	401
546	2643	396
547	2647	391
548	2651	386
549	2656	381
550	2660	376
551	2664	371
552	2669	366
553	2673	361
554	2677	356
555	2681	352
556	2686	347
557	2687	341
558	2691	337
559	2695	332
560	2700	327
561	2704	322
562	2709	317
563	2713	312
564	2717	307
565	2722	303
566	2726	298
567	2730	293
568	2735	288
569	2739	283
570	2744	278
571	2751	274
572	2755	269
573	2760	264
574	2765	259
575	2770	254
576	2775	250
577	2779	245
578	2783	240
579	2787	235
580	2789	230
581	2793	225
582	2797	220
583	2801	215
584	2805	211
585	2810	206
586	2814	201
587	2818	196
588	2821	191
589	2825	186
590	2830	181
591	2834	177
592	2839	172
593	2843	167
594	2847	162
595	2848	157
596	2852	152
597	2856	148
598	2860	143
